name,team,min,uast,ts
A.C. Green,MIA,17.2,0.236,0.492
A.J. Guyton,CHI,19.0,0.308,0.495
Aaron McKie,PHI,31.5,0.447,0.549
Aaron Williams,NJN,28.5,0.377,0.533
Adam Keefe,GSW,12.6,0.313,0.45
Adonal Foyle,GSW,25.2,0.41,0.422
Al Harrington,IND,24.3,0.328,0.479
Alan Henderson,ATL,24.8,0.463,0.487
Allan Houston,NYK,36.6,0.507,0.543
Allen Iverson,PHI,41.9,0.576,0.518
Alvin Williams,TOR,29.2,0.47,0.483
Andre Miller,CLE,34.7,0.746,0.541
Andrew DeClercq,ORL,13.4,0.262,0.57
Antawn Jamison,GSW,41.4,0.265,0.499
Anthony Carter,MIA,22.7,0.472,0.439
Anthony Mason,MIA,40.7,0.517,0.555
Anthony Peeler,MIN,28.3,0.25,0.513
Antoine Walker,BOS,41.9,0.467,0.505
Antonio Daniels,SAS,26.1,0.491,0.567
Antonio Davis,TOR,35.0,0.344,0.508
Antonio McDyess,DEN,36.5,0.222,0.538
Arvydas Sabonis,POR,21.2,0.166,0.527
Austin Croshere,IND,23.1,0.366,0.512
Avery Johnson,SAS,23.4,0.522,0.475
Baron Davis,CHH,38.9,0.494,0.512
Ben Wallace,DET,34.5,0.449,0.471
Billy Owens,DET,17.7,0.5,0.4
Bimbo Coles,CLE,17.1,0.648,0.44
Bo Outlaw,ORL,31.7,0.301,0.623
Bob Sura,GSW,31.7,0.475,0.487
Bobby Jackson,SAC,20.9,0.463,0.501
Bonzi Wells,POR,26.6,0.328,0.571
Brad Miller,CHI,25.2,0.327,0.52
Brent Barry,SEA,26.6,0.197,0.66
Brevin Knight,ATL,27.6,0.568,0.416
Brian Grant,MIA,33.8,0.281,0.536
Brian Shaw,LAL,22.9,0.299,0.479
Brian Skinner,LAC,14.9,0.406,0.428
Bruce Bowen,MIA,32.8,0.232,0.478
Bryant Reeves,VAN,24.4,0.236,0.506
Bryant Stith,BOS,32.1,0.253,0.538
Bryce Drew,CHI,27.2,0.363,0.45
Bryon Russell,UTA,31.7,0.172,0.565
Calvin Booth,DAL,16.9,0.333,0.512
Carlos Rogers,HOU,14.0,0.28,0.674
Cedric Ceballos,MIA,13.9,0.248,0.526
Cedric Henderson,CLE,17.5,0.265,0.416
Charles Oakley,TOR,35.5,0.134,0.439
Charlie Ward,NYK,24.5,0.594,0.536
Chauncey Billups,MIN,23.3,0.46,0.538
Cherokee Parks,LAC,16.2,0.239,0.51
Chris Childs,TOR,24.1,0.467,0.494
Chris Crawford,ATL,19.2,0.369,0.519
Chris Dudley,PHX,11.5,0.517,0.405
Chris Gatling,CLE,22.6,0.35,0.505
Chris Mihm,CLE,19.7,0.382,0.5
Chris Porter,GSW,22.5,0.318,0.434
Chris Webber,SAC,40.5,0.431,0.516
Chris Whitney,WAS,26.0,0.527,0.537
Christian Laettner,WAS,21.3,0.343,0.568
Chucky Atkins,DET,29.2,0.466,0.481
Clar. Weatherspoon,CLE,33.9,0.369,0.563
Clifford Robinson,PHX,33.6,0.2,0.501
Corey Benjamin,CHI,13.2,0.374,0.453
Corey Maggette,LAC,19.7,0.449,0.562
Corie Blount,GSW,19.2,0.338,0.473
Corliss Williamson,DET,24.4,0.332,0.533
Courtney Alexander,WAS,21.1,0.418,0.484
Cuttino Mobley,HOU,38.1,0.535,0.541
Dale Davis,POR,26.7,0.343,0.524
Damon Jones,VAN,19.9,0.365,0.525
Damon Stoudamire,POR,32.4,0.562,0.519
Dan Majerle,MIA,24.6,0.138,0.48
Dana Barros,DET,18.0,0.519,0.534
Daniel Santiago,PHX,10.7,0.234,0.528
Danny Ferry,SAS,21.1,0.112,0.577
Danny Manning,UTA,15.9,0.3,0.537
Darius Miles,LAC,26.4,0.393,0.518
Darrell Armstrong,ORL,37.0,0.54,0.535
David Robinson,SAS,29.6,0.257,0.559
David Wesley,CHH,37.9,0.245,0.509
Dean Garrett,MIN,11.9,0.28,0.511
Dell Curry,TOR,13.5,0.167,0.53
DerMarr Johnson,ATL,16.8,0.247,0.463
Derek Anderson,SAS,34.9,0.387,0.542
Derrick Coleman,CHH,20.1,0.247,0.469
Derrick McKey,IND,14.9,0.3,0.49
Desmond Mason,SEA,19.5,0.28,0.483
Dikembe Mutombo,PHI,34.6,0.61,0.547
Dion Glover,ATL,16.3,0.489,0.461
Dirk Nowitzki,DAL,38.1,0.31,0.601
Don Reid,ORL,11.9,0.341,0.59
Donyell Marshall,UTA,28.7,0.283,0.568
Doug Christie,SAC,36.3,0.37,0.538
Dragan Tarlac,CHI,13.9,0.205,0.454
Duane Causwell,MIA,12.4,0.344,0.396
Eddie House,MIA,10.9,0.385,0.478
Eddie Jones,MIA,36.1,0.376,0.553
Eddie Robinson,CHH,17.9,0.176,0.559
Eduardo Najera,DAL,10.8,0.448,0.522
Elden Campbell,CHH,30.0,0.272,0.505
Elliot Perry,PHX,10.2,0.615,0.491
Elton Brand,CHI,39.3,0.334,0.523
Emanual Davis,SEA,20.8,0.353,0.527
Eric Montross,TOR,12.0,0.393,0.396
Eric Piatkowski,LAC,26.5,0.237,0.572
Eric Snow,PHI,34.9,0.489,0.488
Eric Williams,BOS,21.5,0.395,0.487
Erick Dampier,GSW,24.2,0.452,0.432
Erick Strickland,VAN,16.6,0.309,0.431
Ervin Johnson,MIL,24.2,0.444,0.557
Evan Eschmeyer,NJN,18.0,0.304,0.512
Felipe Lopez,MIN,22.4,0.313,0.503
Fred Hoiberg,CHI,30.3,0.097,0.598
Gary Payton,SEA,41.1,0.641,0.522
George Lynch,PHI,32.3,0.27,0.496
